Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
1,13286,201/205,13286,201/205,1013160001,1013160001,1037549,201/205  East  42nd  st.,Not Available,10017,675,3 AVENUE,Manhattan,289356,Office,Office,Office,293447,Not Available,Not Available,Not Available,Not Available,1963,2,100,Whole Building,Not Available,Not Available,305.6,303.1,37.8,Not Available,614.2,Not Available,Not Available,Not Available,Not Available,Not Available,5.15506751E7,Not Available,Not Available,38139374.2,1.10827705E7,6962.2,0,6962.2,762051,Not Available,Not Available,619.4,05/01/2017 17:32:03,No,In Compliance,40.750791,-73.973963,6,4,88,Turtle Bay-East Midtown
2,28400,NYP Columbia (West Campus),28400,NYP Columbia (West Campus),1021380040,1-02138-0040,1084198; 1084387;1084385; 1084386; 1084388; 1084389; 1807867; 1809824,622 168th Street,Not Available,10032,180,FT WASHINGTON AVENUE,Manhattan,3693539,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),3889181,Not Available,Not Available,Not Available,Not Available,1969,12,100,Whole Building,Whole Building,55,229.8,228.8,24.8,2.4,401.1,Not Available,1.96248472E7,Not Available,Not Available,Not Available,-3.914148026E8,933073441,9330734.4,332365924,9.62613121E7,55870.4,51016.4,4854.1,3889181,Not Available,Not Available,404.3,04/27/2017 11:23:27 AM,No,In Compliance,40.841402,-73.942568,12,10,251,Washington Heights South
3,4778226,MSCHoNY North,28400,NYP Columbia (West Campus),1021380030,1-02138-0030,1063380,3975 Broadway,Not Available,10032,3975,BROADWAY,Manhattan,152765,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),231342,Not Available,Not Available,Not Available,Not Available,1924,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,231342,Not Available,Not Available,Not Available,04/27/2017 11:23:27 AM,No,In Compliance,40.840427,-73.940249,12,10,251,Washington Heights South
4,4778267,Herbert Irving Pavilion & Millstein Hospital,28400,NYP Columbia (West Campus),1021390001,1-02139-0001,1087281; 1076746,161 Fort Washington Ave,177 Fort Washington Ave,10032,161,FT WASHINGTON AVENUE,Manhattan,891040,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),1305748,Not Available,Not Available,Not Available,Not Available,1971,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,1305748,Not Available,Not Available,Not Available,04/27/2017 11:23:27 AM,No,In Compliance,40.840746,-73.942854,12,10,255,Washington Heights South
5,4778288,Neuro Institute,28400,NYP Columbia (West Campus),1021390085,1-02139-0085,1063403,710 West 168th Street,Not Available,10032,193,FT WASHINGTON AVENUE,Manhattan,211400,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),179694,Not Available,Not Available,Not Available,Not Available,1932,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,179694,Not Available,Not Available,Not Available,04/27/2017 11:23:27 AM,No,In Compliance,40.841559,-73.942528,12,10,255,Washington Heights South
6,28402,NYP Cornell (East Campus),28402,NYP Cornell (East Campus),1014800001,1-01480-0001,1084781; 1084780,525 East 68th Street,Not Available,10021,1176,YORK AVENUE,Manhattan,2230742,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),2971874,Not Available,Not Available,Not Available,Not Available,1932,12,100,Whole Building,Whole Building,55,359.9,359,8.3,4.8,411.5,Not Available,2.00832154E7,Not Available,Not Available,Not Available,-4.690796909E8,1.4322508769E9,1.43225088E7,86335350.5,2.45508594E7,54429.8,77564.1,-23134.3,2971874,Not Available,Not Available,414.2,04/27/2017 11:23:27 AM,No,In Compliance,40.761395,-73.957726,8,5,116,Lenox Hill-Roosevelt Island
7,4778352,Annex Building & Garage,28402,NYP Cornell (East Campus),1014820040,1-01482-0040,1081252,523 East 70th St,515 East 70th St,10021,512,EAST 71 STREET,Manhattan,245000,Mixed Use Property,Other,Other,245000,Not Available,Not Available,Not Available,Not Available,1932,1,60,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,245000,Not Available,Not Available,Not Available,04/27/2017 11:23:27 AM,Yes,In Compliance,40.765949,-73.953752,8,5,124,Lenox Hill-Roosevelt Island
10,2610789,North Shore Towers,2610789,North Shore Towers,4084890001,4084890001,4456886;4456885;4453535;4456888,270-10 Grand Central Parkway,269-271-10 Grand Central Parkway,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,"Financial Office, Medical Office, Multifamily Housing, Non-Refrigerated Warehouse, Office, Other, Other - Entertainment/Public Assembly, Other - Public Services, Other - Recreation, Other - Services, Parking, Restaurant, Retail Store, Social/Meeting Hall, Supermarket/Grocery Store, Swimming Pool",Multifamily Housing,2400000,Parking,900000,Other,230200,1974,4,100,Whole Building,Combination of common and tenant areas,Not Available,143974.4,143976,Not Available,1439.7,151174.5,Not Available,1.37367028E7,Not Available,Not Available,Not Available,Not Available,394285242148,3.9428524215E9,Not Available,Not Available,20943400,20943400,0,2738875,107151.5,39.13,151172.9,04/28/2017 07:44:37 AM,Yes,In Compliance,40.757859,-73.715543,13,23,155101,Glen Oaks-Floral Park-New Hyde Park
11,2611745,Towers Golf Course and Irrigation Wells,2610789,North Shore Towers,4084890001,4084890001,4456888,272-86 Grand Central Parkway,Not Available,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Other,Other,Other,200,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,1138.3,1091.5,319.9,Not Available,3427.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,227658.1,63979.9,21.1,0,21.1,200,19261.1,96305.69,3574.2,04/28/2017 07:44:37 AM,Yes,In Compliance,40.757859,-73.715543,13,23,155101,Glen Oaks-Floral Park-New Hyde Park
12,3616379,North Shore Towers Bld 1,2610789,North Shore Towers,4084890001,4084890001,4456886,271-10 Grand Central Parkway,Not Available,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,Other,Other,2738875,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,04/28/2017 07:44:37 AM,Yes,In Compliance,40.757859,-73.715543,13,23,155101,Glen Oaks-Floral Park-New Hyde Park
13,5870374,North Shore Towers Bld 2,2610789,North Shore Towers,4084890001,4084890001,4456885,270-10 Grand Central Parkway,Not Available,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,Other,Other,2738875,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,04/28/2017 07:44:37 AM,Yes,In Compliance,40.757859,-73.715543,13,23,155101,Glen Oaks-Floral Park-New Hyde Park
14,5870375,North Shore Towers Bld 3,2610789,North Shore Towers,4084890001,4084890001,4453535,269-10 Grand Central Parkway,Not Available,11005,269,GRAND CENTRAL PKWY,Queens,3750565,Multifamily Housing,Other,Other,2738875,Not Available,Not Available,Not Available,Not Available,1974,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,912892,Not Available,Not Available,Not Available,04/28/2017 07:44:37 AM,,In Compliance,40.757859,-73.715543,13,23,155101,Glen Oaks-Floral Park-New Hyde Park
15,2637863,Cadman Towers,2637863,Cadman Towers,3002320001;3002380035,3002320001;3002380035,3001727;3319420,101 Clark St,aka 10 Clinton St,11201,,,,,Multifamily Housing,"Multifamily Housing, Other, Parking",Multifamily Housing,412503,Other,20000,Parking,18800,1903,2,100,Whole Building,Whole Building,93,32,Not Available,7.5,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2047200,20472,11241926.1,3249755.2,1194,150.8,1043.2,432503,22061,51.01,87.9,04/28/2017 04:07:55 PM,Yes,In Compliance,,,,,,
16,5871253,Cadman - 10 Clinton St,2637863,Cadman Towers,3002380035,3002380035,3319420,101 Clark St,aka 10 Clinton St,11201,10,CLINTON STREET,Brooklyn,212656,Multifamily Housing,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,162656,Parking,40000,Retail Store,10000,1903,1,100,Whole Building,Not Available,1,295.4,316.8,5.8,3,374.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.75229012E7,512710.7,3477064.5,1004824,2846.8,2524.2,322.7,172656,Not Available,Not Available,352.2,04/28/2017 04:07:55 PM,,In Compliance,40.695835,-73.991673,2,33,502,Brooklyn Heights-Cobble Hill
17,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,5033550032;5033550065,5033550032;5-03355-0065,5049717;5104756,475 SEAVIEW AVE,Not Available,10305,,,,,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),567517,Not Available,Not Available,Not Available,Not Available,1950,2,100,Whole Building,Whole Building,80,352.7,Not Available,32.2,2.2,Not Available,Not Available,9230304.1,Not Available,Not Available,Not Available,Not Available,1.284867131E8,1255514.1,62425429.2,1.82958446E7,13302.6,7509.5,5793.1,567517,9574,16.87,599.5,04/25/2017 12:11:30 PM,No,In Compliance,,,,,,
18,5245390,Seaview child 475,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,5033550032,5-03355-0032,5049717,475 SEAVIEW AVE,Not Available,10305,475,SEAVIEW AVENUE,Staten Island,567517,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),567517,Not Available,Not Available,Not Available,Not Available,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,567517,Not Available,Not Available,Not Available,04/25/2017 12:11:30 PM,Yes,In Compliance,40.583953,-74.08693,2,50,70,Old Town-Dongan Hills-South Beach
19,4045810,242 Mason Ave,2777235,STATEN ISLAND UNIVERSITY HOSPITAL Seaview,5033550065,5-03355-0065,5104756,475 Seaview Av,Not Available,10305,242,MASON AVENUE,Staten Island,53917,Medical Office,Medical Office,Medical Office,58893,Not Available,Not Available,Not Available,Not Available,1950,1,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,58893,Not Available,Not Available,Not Available,04/25/2017 12:11:30 PM,,In Compliance,40.586868,-74.086592,2,50,70,Old Town-Dongan Hills-South Beach
20,2777309,Barnard College,2777309,Barnard College,1019890001,1-01989-0001,1082351;1079204;1082351;1082347;1079205;1082350,3009 Broadway,Not Available,10029,,,,,College/University,"College/University, Residence Hall/Dormitory",College/University,323000,Residence Hall/Dormitory,275000,Not Available,Not Available,1907,7,100,Whole Building,Not Available,Not Available,120,125.2,8.7,0.9,193.6,Not Available,1384940.4,Not Available,Not Available,Not Available,Not Available,5.24412394E7,556997.6,17958140.6,5217062.4,4554.7,2888.2,1666.5,598000,Not Available,Not Available,188.7,05/01/2017 12:50:51,Yes,In Compliance,,,,,,
21,2780056,720-730 Ft. Washington Owners Corp.,2780056,720-730 Ft. Washington Owners Corp.,1021800614;1021800628,1021800614;1021800628,1064475;1064476;1803806,720-730 Ft. Washington Ave.,Not Available,10040,,,,,Multifamily Housing,Multifamily Housing,Multifamily Housing,321464,Not Available,Not Available,Not Available,Not Available,1939,2,100,Whole Building,Whole Building,72,76.2,79.9,3.5,0,106.2,Not Available,Not Available,1.96354077E7,Not Available,Not Available,Not Available,880200,8906.3,3968641.7,1121931.8,1893.4,1525.1,368.3,321464,5915.6,18.4,103.3,05/01/2017 22:09:31,Yes,In Compliance,,,,,,
22,4988574,- 720 Ft. Washington Ave. bldg,2780056,720-730 Ft. Washington Owners Corp.,1021800614,1021800614,1064475,720-730 Ft. Washington Ave.,Not Available,10040,720,FT WASHINGTON AVENUE,Manhattan,179130,Multifamily Housing,Multifamily Housing,Multifamily Housing,204720,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,67,75.7,79,4,0,109.1,Not Available,Not Available,1.20478901E7,Not Available,Not Available,Not Available,553439.4,5604.4,2886852.2,820016.2,1204.4,936.5,267.9,204720,Not Available,Not Available,106.6,05/01/2017 22:09:31,,In Compliance,40.857943,-73.934962,12,10,281,Washington Heights North
23,4988569,- 730 Ft. Washington Ave bldg,2780056,720-730 Ft. Washington Owners Corp.,1021800628,1021800628,1064476;1803806,720-730 Ft. Washington Ave.,Not Available,10040,730,FT WASHINGTON AVENUE,Manhattan,102150,Multifamily Housing,Multifamily Housing,Multifamily Housing,116744,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,80,77.1,82.7,2.6,0,102.8,Not Available,Not Available,7587517.6,Not Available,Not Available,Not Available,326760.6,3301.9,1081789.4,308074.6,689,588.6,100.4,116744,Not Available,Not Available,97.7,05/01/2017 22:09:31,Yes,In Compliance,40.858256,-73.934734,12,10,281,Washington Heights North
24,2806486,Park 76th Street Inc.,2806486,Park 76th Street Inc.,1013900037;1013910034,1013900037;1013910034,1041702; 1041800,830-840 Park Avenue,Not Available,10021,,,,,Multifamily Housing,Multifamily Housing,Multifamily Housing,189766,Not Available,Not Available,Not Available,Not Available,1911,2,100,Whole Building,Whole Building,100,68,Not Available,6.1,0.5,Not Available,Not Available,112138.8,Not Available,Not Available,Not Available,Not Available,8786386.9,98264.5,4013954.9,1156269.9,847.5,475,372.5,189766,Not Available,Not Available,115.6,05/01/2017 22:09:31,Yes,In Compliance,,,,,,
25,4988686,- 830 Park Avenue bldg,2806486,Park 76th Street Inc.,1013900037,1013900037,1041702,830 Park Avenue,Not Available,10021,830,PARK AVENUE,Manhattan,151666,Multifamily Housing,Multifamily Housing,Multifamily Housing,130629,Not Available,Not Available,Not Available,Not Available,1911,1,100,Another configuration,Not Available,100,23.7,23.4,6.8,Not Available,73.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3090622.7,894049,286.8,0,286.8,130629,Not Available,Not Available,74.3,05/01/2017 22:09:31,,In Compliance,40.773465,-73.962116,8,4,130,Upper East Side-Carnegie Hill
26,4988688,- 840 Park Avenue bldg,2806486,Park 76th Street Inc.,1013910034,1013910034,1041800,840 Park Avenue,Not Available,10021,840,PARK AVENUE,Manhattan,64827,Multifamily Housing,Multifamily Housing,Multifamily Housing,54913,Not Available,Not Available,Not Available,Not Available,1911,1,100,Another configuration,Not Available,100,17.9,17.4,4.8,0,52.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,59412.9,601,923332.2,262377.2,88.8,3.2,85.7,54913,231.9,4.22,53.9,05/01/2017 22:09:31,Yes,In Compliance,40.773843,-73.961838,8,4,130,Upper East Side-Carnegie Hill
27,2809896,560 Riverside Drive,2809896,560 Riverside Drive,,Not Available,Not Available,560 Riverside Drive,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,535632,Not Available,Not Available,Not Available,Not Available,1964,2,100,Whole Building,Whole Building,Not Available,115.9,118.8,0,1.2,124.7,Not Available,Not Available,Not Available,450000,Not Available,Not Available,6.16389972E7,631631.4,5527.4,1620,3308.4,3307.8,0.5,535632,8984.2,16.77,121.7,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
28,4954491,558 RIVERSIDE DRIVE,2809896,560 Riverside Drive,1019950053,1019950053,1059890,558 RIVERSIDE DRIVE,Not Available,10027,558,RIVERSIDE DRIVE,Manhattan,256528,College/University,College/University,College/University,256528,Not Available,Not Available,Not Available,Not Available,1964,1,100,Whole Building,Not Available,Not Available,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,0,0,0,0,256528,Not Available,Not Available,0,04/24/2017 06:52:20 PM,Yes,In Compliance,40.816968,-73.960754,9,7,211,Morningside Heights
29,4954504,564 RIVERSIDE DRIVE,2809896,560 Riverside Drive,1019950063,1019950063,1059891,560 Riverside Drive,Not Available,10027,564,RIVERSIDE DRIVE,Manhattan,339104,College/University,College/University,College/University,339104,Not Available,Not Available,Not Available,Not Available,1964,1,100,Whole Building,Not Available,Not Available,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,0,0,0,0,339104,Not Available,Not Available,0,04/24/2017 06:52:20 PM,No,In Compliance,40.817221,-73.960776,9,7,211,Morningside Heights
30,2825730,Meyer Hall,2825730,Meyer Hall,1005460031,1005460031,1008816,4-6 Washington Place,Not Available,10003,4,WASHINGTON PLACE,Manhattan,54725,College/University,College/University,College/University,199058.1,Not Available,Not Available,Not Available,Not Available,1971,2,100,Whole Building,Whole Building,Not Available,26.9,26.9,7.9,0,84.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1,5357112.7,1570079.7,497.1,0,497.1,199058,1009.9,05.07,84.5,04/28/2017 07:15:52 PM,,In Compliance,40.729201,-73.994155,2,1,57,West Village
31,5101913,713 Broadway MEYER,2825730,Meyer Hall,1005460033,1005460033,1008817,713 Broadway,Not Available,10003,713,BROADWAY,Manhattan,61582,College/University,College/University,College/University,61582,Not Available,Not Available,Not Available,Not Available,1971,0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,61582,Not Available,Not Available,Not Available,04/28/2017 07:15:52 PM,,In Compliance,40.728924,-73.993834,2,1,57,West Village
32,2831114,MCKINLEY,2831114,MCKINLEY,2026380090,2026380090,2091956;2091957;2091958;2091959;2091960,730 EAST 163RD STREET,Not Available,10456,725,EAST 161 STREET,Bronx,750000,Multifamily Housing,Multifamily Housing,Multifamily Housing,855844,Not Available,Not Available,Not Available,Not Available,1962,6,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,641719,Not Available,Not Available,Not Available,06/02/2017 10:55:11,,In Compliance,40.821523,-73.90549,3,16,133,Morrisania-Melrose
33,3111973,Metro North - 420-440 East 102 St.,3111973,Metro North - 420-440 East 102 St.,1016940003,1-01694-0003,1083934,420-440 East 102 St.,Not Available,10029,455,EAST 102 STREET,Manhattan,175885,Multifamily Housing,Multifamily Housing,Multifamily Housing,175885,Not Available,Not Available,Not Available,Not Available,1973,2,100,Whole Building,Whole Building,40,56.2,58.8,10.7,0.2,138.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3826349.7,39028.3,6056300.2,1887619.4,765.3,203.2,562,175885,237.9,1.35,131,04/30/2017 02:15:35 PM,,In Compliance,40.786238,-73.939958,11,8,162,East Harlem South
34,3129181,Benjamin: 86-02 208 St (Parent),3129181,Benjamin: 86-02 208 St (Parent),4105990100,4-10599-0100,4434653;4434656;4445475;4434654,86-02 208 St,Not Available,11427,206-09,86 ROAD,Queens,167856,Multifamily Housing,Multifamily Housing,Multifamily Housing,152308,Not Available,Not Available,Not Available,Not Available,1952,4,100,Whole Building,Whole Building,67,49.5,50.7,7.4,0.3,105.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3634699.8,38952.7,3900932.9,1121175.7,555.1,193.1,362,152308,Not Available,Not Available,105.5,04/26/2017 01:16:38 PM,,In Compliance,,,,,,
35,3129218,Benjamin: 206-10 86 Rd (Parent),3129218,Benjamin: 206-10 86 Rd (Parent),4105900100,4-10590-0100,4434635;4434636;4434640;4434639;4434637;4434638,206-10 86 Road,Not Available,11427,86-50,FRANCIS LEWIS BLVD,Queens,217584,Multifamily Housing,Multifamily Housing,Multifamily Housing,228570,Not Available,Not Available,Not Available,Not Available,1952,6,100,Whole Building,Whole Building,99,25.5,25.1,4.9,0.1,61.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1919800,19198,3900932.9,1121175.7,464,102,362,228570,Not Available,Not Available,62.4,04/26/2017 01:16:38 PM,Yes,In Compliance,,,,,,
36,3129231,Benjamin: 209-30 86 Drive (Parent),3129231,Benjamin: 209-30 86 Drive (Parent),4105920150,4-10592-0150,4434643;4434642;4434641;4434644,209-30 86 Drive,Not Available,11427,210-10,GRND CNTRL PKWY SR E,Queens,145056,Multifamily Housing,Multifamily Housing,Multifamily Housing,152380,Not Available,Not Available,Not Available,Not Available,1952,4,100,Whole Building,Whole Building,12,65.3,66.8,12.4,0.2,158.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3422100,37194.6,6531693.6,1892619.8,787.9,181.8,606.1,152380,Not Available,Not Available,158.2,04/26/2017 01:16:38 PM,No,In Compliance,,,,,,
37,3129256,Benjamin: 209-31 86 Drive (Parent),3129256,Benjamin: 209-31 86 Drive (Parent),4105930002,4-10593-0002,4434645;4434646;4434647;4434648;4434649;4434650;4434651;4434652,209-31 86 Drive,Not Available,11427,86-09,GRAND CENTRL PARKWAY,Queens,290112,Multifamily Housing,Multifamily Housing,Multifamily Housing,304760,Not Available,Not Available,Not Available,Not Available,1952,8,100,Whole Building,Whole Building,88,43.7,43.4,5.7,0.2,86.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7268300.3,72683,6057016.5,1749805.6,948.1,386.1,562.1,304760,Not Available,Not Available,87.4,04/26/2017 01:16:38 PM,No,In Compliance,,,,,,
38,3612678,Columbia University (morningside),3612678,Columbia University (morningside),,Not Available,Not Available,410 West 118th Street,B-230,10027,,,,,College/University,College/University,College/University,6386382,Not Available,Not Available,Not Available,Not Available,1897,56,100,Whole Building,Not Available,Not Available,175.9,175.9,16.2,1.2,300.4,Not Available,Not Available,Not Available,0,Not Available,Not Available,770027489,7700274.9,353396020.5,1.035744366E8,73694.9,40899.9,32795,6385382,Not Available,Not Available,300.4,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
39,2658438,Business Law,3612678,Columbia University (morningside),1018670042,1018670042,1085710,1125 Amsterdam Avenue,Not Available,10027,,,,,Office,Office,Office,83131,Not Available,Not Available,Not Available,Not Available,1996,1,100,Whole Building,Whole Building,100,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,0,0,0,0,83131,975.6,11.74,0,04/24/2017 06:52:20 PM,,In Compliance,,,,,,
40,2977441,Kings Crown-420 West 116th,3612678,Columbia University (morningside),1018670067,1018670067,1056055,420 W 116th St,Not Available,10027,,,,,Office,Office,Office,50000,Not Available,Not Available,Not Available,Not Available,1906,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,50000,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,,In Compliance,,,,,,
41,3114649,438 W 116th St,3612678,Columbia University (morningside),1018670074,1018670074,1056058,438 W 116th St,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,54138,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,100,0.5,0.5,Not Available,0,0.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28000,280,Not Available,Not Available,1.5,1.5,0,54138,Not Available,Not Available,0.5,04/24/2017 06:52:20 PM,,In Compliance,,,,,,
42,2646962,Ruggles,3612678,Columbia University (morningside),1018850037,1018850037,1057033,508 West 114th Street,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,48608,Not Available,Not Available,Not Available,Not Available,1898,1,100,Whole Building,Not Available,99,16,16,4.5,0,49.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27900,279,750367,219920,71.1,1.5,69.6,48608,Not Available,Not Available,49.1,04/24/2017 06:52:20 PM,,In Compliance,,,,,,
43,2977473,514 West 114th Street,3612678,Columbia University (morningside),1018850040,1018850040,1057034,410 West 118th Street,B-230,10027,514,WEST 114 STREET,Manhattan,57300,Multifamily Housing,Multifamily Housing,Multifamily Housing,42352,Not Available,Not Available,Not Available,Not Available,1908,1,100,Whole Building,Not Available,100,6.1,5.8,0.7,0,10.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,157800,1468.2,98511.3,28872,17.5,8.4,9.1,57300,1668.9,39.41,11.2,04/24/2017 06:52:20 PM,,In Compliance,40.805894,-73.962946,9,7,199,Morningside Heights
44,2658221,520 West 114th,3612678,Columbia University (morningside),1018850043,1018850043,1057035,520 West 114th Street,Not Available,10027,520,WEST 114 STREET,Manhattan,57430,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,42128,Not Available,Not Available,Not Available,Not Available,1908,1,100,Whole Building,Not Available,100,6.8,6.8,1.2,0,15.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,115700,1157,172640.4,50598,22.2,6.1,16,42128,Not Available,Not Available,15.8,04/24/2017 06:52:20 PM,,In Compliance,40.805938,-73.963051,9,7,199,Morningside Heights
