Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
13863,2805424,210-50 41st Avenue - 33946,Not Applicable: Standalone Property,Not Applicable: Standalone Property,4062270088,4-06227-0088,4137452,210-50 41st Avenue,Not Available,11361,210-50,41 AVENUE,Queens,73000,Multifamily Housing,Multifamily Housing,Multifamily Housing,80300,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Whole Building,85,67.8,70.2,4.1,Not Available,100.7,Not Available,Not Available,Not Available,4276050.4,Not Available,Not Available,Not Available,Not Available,1165168.1,329943.7,430.3,322.2,108.1,80300,3928.8,48.93,99.3,04/24/2017 10:27:49 AM,Yes,In Compliance,,,,,,
13864,2604109,Ozanam Hall of Queens Nursing,Not Applicable: Standalone Property,Not Applicable: Standalone Property,4062590016,4062590016,4137890,42-41 201st Street,Not Available,11361,42-41,201 STREET,Queens,247884,Senior Care Community,Senior Care Community,Senior Care Community,295126,Not Available,Not Available,Not Available,Not Available,1971,1,100,Whole Building,Not Available,23,180.2,179.2,13.3,1.3,283.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39462646,394626.5,13710369.6,3934136.5,3368.4,2096.1,1272.3,295126,18390.5,62.31,286.3,03/31/2017 11:57:20 AM,No,In Compliance,,,,,,
13865,2735033,SHR Apartments Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,4062770002,4-06277-0002,4443831;4443832;4443838;4443843;4443834;4566918;4566931;4566934;4566938;4566945;4566952,210-02 42 Avenue,Not Available,11361,42-11,CORPORAL KENNEDY ST,Queens,208345,Multifamily Housing,Multifamily Housing,Multifamily Housing,208345,Not Available,Not Available,Not Available,Not Available,1951,1,100,Whole Building,Whole Building,45,67.7,72.6,3.2,0.6,99.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.17160369E7,128255.4,2388319.8,674690.5,843.9,622.3,221.6,208345,11024.6,52.91,95,04/26/2017 10:59:35 AM,No,In Compliance,,,,,,
13866,4277211,42-40 Bell Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,4062840001,4-06284-0001,4138207,42-40 Bell Blvd.,Not Available,11361,213-11,43 AVENUE,Queens,61620,Office,"Office, Parking",Office,61620,Parking,8000,Not Available,Not Available,1972,1,90,Whole Building,Not Available,2,201.3,204.8,32.9,0.9,449.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5268538.9,57077.4,7137647.2,2026567.8,942.2,279.8,662.4,61620,1123.1,18.23,453.5,04/24/2017 02:36:28 PM,Yes,In Compliance,,,,,,
13867,2732822,21432 43rd ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,4063010016,4063010016,4138367,214-32 43rd Ave,Not Available,11362,214-32,43 AVENUE,Queens,51150,Multifamily Housing,Multifamily Housing,Multifamily Housing,51150,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,100,9.6,9.6,1.4,0,19.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,248143.3,2510.1,243669,70119.6,35.8,13.2,22.6,51150,6209.1,121.39,20.1,06/26/2017 05:16:39 PM,Yes,In Compliance,,,,,,
13869,2386047,West Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,4064010019,4-06401-0019,4861615,139-24 Booth Memorial Ave,Not Available,11355,139-22,BOOTH MEMORIAL AVE,Queens,164873,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),171780,Not Available,Not Available,Not Available,Not Available,2010,1,100,Whole Building,Not Available,12,253.8,Not Available,38.8,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.79257833E7,179257.8,23175624.8,6663100.8,3287.5,1136.8,2150.7,171780,Not Available,Not Available,547.8,03/27/2017 10:27:25 AM,Yes,In Compliance,,,,,,
13870,2805507,67-01 136th Street - 25143,Not Applicable: Standalone Property,Not Applicable: Standalone Property,4064820003,4-06482-0003,4443870;4443871;4443872;4443873;4443874;4443875;4443876;4443877,67-01 136th Street,Not Available,11367,136-51,PARK DRIVE EAST,Queens,152470,Multifamily Housing,Multifamily Housing,Multifamily Housing,167717,Not Available,Not Available,Not Available,Not Available,1950,35,100,Whole Building,Whole Building,11,112.3,119.9,6.4,1,171.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15029924,164544.8,3803703.5,1073281.2,1151.3,798.3,353,167717,Not Available,Not Available,165.3,04/24/2017 10:27:49 AM,Yes,In Compliance,,,,,,
13873,4046796,"Joyce Equities, Inc. - Jewel Avenue",Not Applicable: Standalone Property,Not Applicable: Standalone Property,4064850003,4-06485-0003,4450220;4450217;4450226;4450221;4450222;4450216;4450225;4450219;4450224;4450223;4450218;4447934,"68-09 138 Street, Queens 11367",Not Available,11367,68-09,138 STREET,Queens,271380,Multifamily Housing,Multifamily Housing,Multifamily Housing,271380,Not Available,Not Available,Not Available,Not Available,1947,12,100,Whole Building,Whole Building,18,110.7,118.4,4.5,1,156.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.57527588E7,279683.8,4295044.4,1218875.4,1766.4,1367.9,398.6,271380,11615.9,42.8,149.3,04/28/2017 12:58:33 PM,Yes,In Compliance,,,,,,
13874,2805509,68-04 136th Street - 25145,Not Applicable: Standalone Property,Not Applicable: Standalone Property,4064930003,4-06493-0003,4450331;4450334;4459517;4459521;4459526;4450279;4450287;4450288;4450303;4450311;4450313;4450333;4459518;4450302;4450332;4459531;4450275;4450276;4450277;4450278;4450280;4450281;4450282;4450283;4450284;4450285;4450286;4450289;4450290;4450291;4450292;4450293;4450294;4450295;4450296;4450297;4450298;4450299;4450300;4450301;4450304;4450305;4450306;4450307;4450308;4450309;4450310;4450312;4450314;4450315;4450316;4450317;4450318;4450319;4450320;4450321;4450322;4450323;4450324;4450325;4450326;4450327;4450328;4450329;4450330;4459513;4459514;4459515;4459516;4459519;4459520;4459522;4459523;4459524;4459525;4459527;4459529;4459530;4459532;4459533;4459534;4459535;4459536;4459537;4459538;4459539;4459540;4459541;4459542,68-04 136th Street,Not Available,11367,135-01,JEWEL AVENUE,Queens,169678,Multifamily Housing,Multifamily Housing,Multifamily Housing,177516,Not Available,Not Available,Not Available,Not Available,1950,45,100,Whole Building,Whole Building,10,113.4,120.9,6.4,1,172.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.60638114E7,175723.9,4067458.4,1141143.5,1230.7,853.2,377.5,177516,12174.2,68.58,167,04/24/2017 10:27:49 AM,No,In Compliance,,,,,,
13875,2805384,137-04 68th Drive - 25146,Not Applicable: Standalone Property,Not Applicable: Standalone Property,4064940003,4-06494-0003,4463808;4450372;4450355;4459486;4459499;4450350;4459487;4450335;4450340;4450381;4450388;4459475;4450394;4459512;4463807;4463806;4463809,137-04 68th Drive,Not Available,11367,69-42,JEWEL AVENUE,Queens,227464,Multifamily Housing,Multifamily Housing,Multifamily Housing,250210,Not Available,Not Available,Not Available,Not Available,1950,52,100,Whole Building,Whole Building,9,116.7,124.6,6.1,1,174.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.37246164E7,259564,5465340.6,1531217.8,1767.3,1260.1,507.2,250210,Not Available,Not Available,168.1,04/24/2017 10:27:49 AM,Yes,In Compliance,,,,,,
